Entity,Code,Year,CO₂ emissions from fossil fuels and land use change,CO₂ emissions from fossil fuels and industry,CO₂ emissions from land use change
Afghanistan,AFG,1959,15618355200,8856374272,6761980928
Afghanistan,AFG,1960,16179810304,9387810816,6791998976
Afghanistan,AFG,1961,16241441792,9418633216,6822808576
Afghanistan,AFG,1962,16312017920,9751263232,6560754688
Afghanistan,AFG,1963,16324313088,10271890432,6052422144
Afghanistan,AFG,1964,16560771072,10829867008,5730903552
Afghanistan,AFG,1965,16510402560,11317882880,5192520192
Afghanistan,AFG,1966,16809500672,11867256832,4942243840
Afghanistan,AFG,1967,17272217600,12244393984,5027824640
Afghanistan,AFG,1968,17965920256,12911313920,5054606336
Afghanistan,AFG,1969,18503319552,13767876608,4735442944
Afghanistan,AFG,1970,19612364800,14898575360,4713788416
Afghanistan,AFG,1971,20164421632,15499657216,4664764416
Afghanistan,AFG,1972,20899108864,16222739456,4676368896
Afghanistan,AFG,1973,21618507776,17080141824,4538366464
Afghanistan,AFG,1974,21379604480,17011143680,4368461824
Afghanistan,AFG,1975,22240493568,17048539136,5191953408
Afghanistan,AFG,1976,22755766272,17985501184,4770264576
Afghanistan,AFG,1977,23139760128,18496430080,4643330048
Afghanistan,AFG,1978,23297722368,19069630464,4228091392
Afghanistan,AFG,1979,23864434688,19611475968,4252957696
Afghanistan,AFG,1980,23638337536,19494451200,4143886336
Afghanistan,AFG,1981,23343929344,19029032960,4314896384
Afghanistan,AFG,1982,23111575552,18877890560,4233685504
Afghanistan,AFG,1983,23661371392,19000182784,4661189632
Afghanistan,AFG,1984,24831905792,19659028480,5172877312
Afghanistan,AFG,1985,25221292032,20319909888,4901381120
Afghanistan,AFG,1986,25450475520,20622252032,4828223488
Afghanistan,AFG,1987,25899237376,21269166080,4630070784
Afghanistan,AFG,1988,26608850944,22104852480,4503998464
Afghanistan,AFG,1989,26764148736,22410432512,4353715200
Afghanistan,AFG,1990,27041505280,22742327296,4299177984
Afghanistan,AFG,1991,27442896896,23230810112,4212085760
Afghanistan,AFG,1992,26953144320,22561548288,4391596544
Afghanistan,AFG,1993,27088326656,22795134976,4293191936
Afghanistan,AFG,1994,27771367424,22956447744,4814918656
Afghanistan,AFG,1995,28211814400,23445604352,4766209024
Afghanistan,AFG,1996,28987062272,24146044928,4841017344
Afghanistan,AFG,1997,30965524480,24294881280,6670642688
Afghanistan,AFG,1998,29336451072,24202033152,5134417920
Afghanistan,AFG,1999,29587886080,24514863104,5073021952
Afghanistan,AFG,2000,29767446528,25230159872,4537286656
Afghanistan,AFG,2001,29612062720,25447149568,4164913920
Afghanistan,AFG,2002,30753978368,26035853312,4718125056
Afghanistan,AFG,2003,32456863744,27363506176,5093357056
Afghanistan,AFG,2004,33200537600,28624242688,4576294400
Afghanistan,AFG,2005,33698942976,29599029248,4099912960
Afghanistan,AFG,2006,35219714048,30579730432,4639984128
Afghanistan,AFG,2007,35536441344,31489845248,4046596096
Afghanistan,AFG,2008,36204646400,32065773568,4138871040
Afghanistan,AFG,2009,36132634624,31603392512,4529241088
Afghanistan,AFG,2010,37618974720,33340114944,4278861312
Afghanistan,AFG,2011,39296249856,34465112064,4831137792
Afghanistan,AFG,2012,39647084544,34970644480,4676440064
Afghanistan,AFG,2013,39596494848,35279704064,4316789248
Afghanistan,AFG,2014,40095285248,35531591680,4563694592
Afghanistan,AFG,2015,40260575232,35493670912,4766905856
Afghanistan,AFG,2016,39153553408,35449978880,3703574528
Afghanistan,AFG,2017,39585964032,35923083264,3662879232
Afghanistan,AFG,2018,40500518912,36642979840,3857538816
Afghanistan,AFG,2019,40524558336,36699148288,3825410560
Afghanistan,AFG,2020,38017839104,34807844864,3209992960
Africa,,1959,15618355200,8856374272,6761980928
Africa,,1960,16179810304,9387810816,6791998976
Africa,,1961,16241441792,9418633216,6822808576
Africa,,1962,16312017920,9751263232,6560754688
Africa,,1963,16324313088,10271890432,6052422144
Africa,,1964,16560771072,10829867008,5730903552
Africa,,1965,16510402560,11317882880,5192520192
Africa,,1966,16809500672,11867256832,4942243840
Africa,,1967,17272217600,12244393984,5027824640
Africa,,1968,17965920256,12911313920,5054606336
Africa,,1969,18503319552,13767876608,4735442944
Africa,,1970,19612364800,14898575360,4713788416
Africa,,1971,20164421632,15499657216,4664764416
Africa,,1972,20899108864,16222739456,4676368896
Africa,,1973,21618507776,17080141824,4538366464
Africa,,1974,21379604480,17011143680,4368461824
Africa,,1975,22240493568,17048539136,5191953408
Africa,,1976,22755766272,17985501184,4770264576
Africa,,1977,23139760128,18496430080,4643330048
Africa,,1978,23297722368,19069630464,4228091392
Africa,,1979,23864434688,19611475968,4252957696
Africa,,1980,23638337536,19494451200,4143886336
Africa,,1981,23343929344,19029032960,4314896384
Africa,,1982,23111575552,18877890560,4233685504
Africa,,1983,23661371392,19000182784,4661189632
Africa,,1984,24831905792,19659028480,5172877312
Africa,,1985,25221292032,20319909888,4901381120
Africa,,1986,25450475520,20622252032,4828223488
Africa,,1987,25899237376,21269166080,4630070784
Africa,,1988,26608850944,22104852480,4503998464
Africa,,1989,26764148736,22410432512,4353715200
Africa,,1990,27041505280,22742327296,4299177984
Africa,,1991,27442896896,23230810112,4212085760
Africa,,1992,26953144320,22561548288,4391596544
Africa,,1993,27088326656,22795134976,4293191936
Africa,,1994,27771367424,22956447744,4814918656
Africa,,1995,28211814400,23445604352,4766209024
Africa,,1996,28987062272,24146044928,4841017344
Africa,,1997,30965524480,24294881280,6670642688
Africa,,1998,29336451072,24202033152,5134417920
Africa,,1999,29587886080,24514863104,5073021952
Africa,,2000,29767446528,25230159872,4537286656
Africa,,2001,29612062720,25447149568,4164913920
Africa,,2002,30753978368,26035853312,4718125056
Africa,,2003,32456863744,27363506176,5093357056
Africa,,2004,33200537600,28624242688,4576294400
Africa,,2005,33698942976,29599029248,4099912960
Africa,,2006,35219714048,30579730432,4639984128
Africa,,2007,35536441344,31489845248,4046596096
Africa,,2008,36204646400,32065773568,4138871040
Africa,,2009,36132634624,31603392512,4529241088
Africa,,2010,37618974720,33340114944,4278861312
Africa,,2011,39296249856,34465112064,4831137792
Africa,,2012,39647084544,34970644480,4676440064
Africa,,2013,39596494848,35279704064,4316789248
Africa,,2014,40095285248,35531591680,4563694592
Africa,,2015,40260575232,35493670912,4766905856
Africa,,2016,39153553408,35449978880,3703574528
Africa,,2017,39585964032,35923083264,3662879232
Africa,,2018,40500518912,36642979840,3857538816
Africa,,2019,40524558336,36699148288,3825410560
Africa,,2020,38017839104,34807844864,3209992960
Africa (GCP),,1959,15618355200,8856374272,6761980928
Africa (GCP),,1960,16179810304,9387810816,6791998976
Africa (GCP),,1961,16241441792,9418633216,6822808576
Africa (GCP),,1962,16312017920,9751263232,6560754688
Africa (GCP),,1963,16324313088,10271890432,6052422144
